lsoa_code,IMDScore
E01000572,12.26
E01000573,13.432
E01000574,10.723
E01000575,17.369
E01000576,16.509
E01000577,32.606
E01000578,28.89
E01000579,28.906
E01000580,20.094
E01000581,15.538
E01000582,14.317
E01000583,21.296
E01000584,14.526
E01000585,14.234
E01000586,21.525
E01000587,15.01
E01000588,26.149
E01000589,19.307
E01000590,18.959
E01000591,20.6
E01000592,20.65
E01000593,19.632
E01000594,17.074
E01000595,45.345
E01000596,46.524
E01000599,51.401
E01000600,36.846
E01000601,57.244
E01000602,39.756
E01000603,39.051
E01000604,43.13
E01000605,45.54
E01000606,19.696
E01000607,18.814
E01000608,22.141
E01000609,20.99
E01000610,24.925
E01000611,24.049
E01000612,22.985
E01000613,25.258
E01000615,19.767
E01000616,21.621
E01000617,24.108
E01000618,21.83
E01000619,19.435
E01000620,20.903
E01000621,25.172
E01000622,30.14
E01000623,16.12
E01000624,18.739
E01000625,22.448
E01000626,43.498
E01000627,39.15
E01000628,33.655
E01000629,15.786
E01000630,28.674
E01000631,16.862
E01000632,18.641
E01000633,24.495
E01000634,21.854
E01000635,29.677
E01000636,18.16
E01000637,23.342
E01000638,28.948
E01000639,22.065
E01000640,26.984
E01000641,30.752
E01000642,27.298
E01000643,51.118
E01000644,24.997
E01000645,4.426
E01000646,8.685
E01000647,6.901
E01000648,6.434
E01000649,9.063
E01000650,11.657
E01000651,9.788
E01000652,6.271
E01000653,9.788
E01000654,7.92
E01000655,10.106
E01000656,6.82
E01000657,12.177
E01000658,6.924
E01000659,7.687
E01000661,37.586
E01000662,18.168
E01000663,17.592
E01000664,19.015
E01000665,11.279
E01000666,5.577
E01000667,6.865
E01000668,11.493
E01000669,8.753
E01000670,5.899
E01000671,10.594
E01000672,7.586
E01000673,8.286
E01000674,12.232
E01000675,10.154
E01000676,20.773
E01000677,13.342
E01000678,8.932
E01000679,8.841
E01000680,9.169
E01000681,2.655
E01000682,4.327
E01000683,12.312
E01000684,3.543
E01000685,12.631
E01000686,7.29
E01000687,6.541
E01000688,2.568
E01000689,21.75
E01000690,7.176
E01000691,13.121
E01000692,6.716
E01000693,11.702
E01000694,7.762
E01000695,7.554
E01000696,7.31
E01000697,3.492
E01000698,14.009
E01000699,20.128
E01000700,13.73
E01000701,12.788
E01000702,10.113
E01000703,10.469
E01000704,10.323
E01000705,16.348
E01000706,16.599
E01000707,3.318
E01000708,7.865
E01000709,16.171
E01000710,10.333
E01000711,11.785
E01000712,7.002
E01000713,8.117
E01000714,9.987
E01000715,6.57
E01000716,7.53
E01000717,8.436
E01000718,27.328
E01000719,25.428
E01000720,43.281
E01000721,43.217
E01000722,23.575
E01000723,13.714
E01000724,36.128
E01000725,27.914
E01000726,16.178
E01000727,14.486
E01000728,21.443
E01000729,40.937
E01000730,41.8
E01000731,29.743
E01000732,14.361
E01000733,19.956
E01000734,11.971
E01000735,30.057
E01000736,21.883
E01000737,32.209
E01000738,20.161
E01000739,42.448
E01000740,25.699
E01000741,24.882
E01000742,23.251
E01000743,34.812
E01000744,41.713
E01000745,19.473
E01000746,17.48
E01000747,20.247
E01000748,12.664
E01000749,11.329
E01000750,30.702
E01000751,6.681
E01000752,8.395
E01000753,6.135
E01000754,7.427
E01000755,5.078
E01000756,4.925
E01000757,4.451
E01000758,3.339
E01000759,7.816
E01000760,9.071
E01000761,7.262
E01000762,6.964
E01000763,5.404
E01000764,12.203
E01000765,7.214
E01000766,3.044
E01000767,4.764
E01000768,8.72
E01000769,23.938
E01000770,6.02
E01000771,5.485
E01000772,4.052
E01000773,6.474
E01000774,9.362
E01000775,7.336
E01000777,7.717
E01000778,13.162
E01000779,15.109
E01000780,22.669
E01000781,37.305
E01000782,47.689
E01000783,31.443
E01000784,10.181
E01000785,31.622
E01000786,9.502
E01000787,22.391
E01000788,23.025
E01000789,36.636
E01000790,13.639
E01000791,9.652
E01000792,18.856
E01000793,4.826
E01000794,3.686
E01000795,14.293
E01000796,30.14
E01000797,13.477
E01000798,42.145
E01000799,19.434
E01000800,28.064
E01000801,18.196
E01000802,19.757
E01000803,17.243
E01000804,8.331
E01000805,21.754
E01000806,25.697
E01000807,6.047
E01000808,7.005
E01000809,4.188
E01000810,2.339
E01000811,5.127
E01000812,10.196
E01000813,3.255
E01000814,4.284
E01000815,2.586
E01001631,34.131
E01000008,37.596
E01000009,32.844
E01000010,32.437
E01000011,30.679
E01000012,34.714
E01000013,38.997
E01000014,35.67
E01000015,33.632
E01000016,32.839
E01000017,39.004
E01000018,33.406
E01000019,33.62
E01000020,36.035
E01000021,38.888
E01000022,34.413
E01000023,36.877
E01000024,29.339
E01000025,36.702
E01000027,37.347
E01000028,40.078
E01000029,22.503
E01000030,38.415
E01000031,22.672
E01000032,29.958
E01000033,37.978
E01000034,35.895
E01000035,26.175
E01000036,19.27
E01000037,17.988
E01000038,19.646
E01000039,22.288
E01000040,34.608
E01000041,33.173
E01000042,41.573
E01000043,28.075
E01000044,28.389
E01000045,35.688
E01000046,29.763
E01000048,44.704
E01000049,41.172
E01000050,34.701
E01000051,36.941
E01000052,33.284
E01000053,40.044
E01000054,29.788
E01000055,30.898
E01000056,35.903
E01000057,32.887
E01000058,31.763
E01000059,32.331
E01000060,36.154
E01000061,46.283
E01000062,26.669
E01000063,33.371
E01000064,35.283
E01000065,39.89
E01000066,25.763
E01000067,20.973
E01000068,25.603
E01000069,16.375
E01000070,21.038
E01000071,18.848
E01000072,41.016
E01000073,38.757
E01000074,35.044
E01000075,36.999
E01000076,36.246
E01000077,41.032
E01000078,35.033
E01000079,34.522
E01000080,33.185
E01000081,30.608
E01000082,27.895
E01000083,34.377
E01000084,39.815
E01000085,35.154
E01000086,38.156
E01000087,34.357
E01000088,28.849
E01000089,28.968
E01000090,28.317
E01000091,42.183
E01000092,33.768
E01000093,46.922
E01000094,28.182
E01000095,32.254
E01000096,40.926
E01000097,38.009
E01000098,39.405
E01000099,29.266
E01000100,31.83
E01000101,40.463
E01000102,42.631
E01000103,32.894
E01000104,34.672
E01000105,44.149
E01000106,43.523
E01000107,28.332
E01000108,28.166
E01000109,25.691
E01000110,17.741
E01000111,28.903
E01000112,24.743
E01000113,25.268
E01000114,23.288
E01000115,6.227
E01000116,7.79
E01000117,9.642
E01000118,9.812
E01000119,11.589
E01000120,5.902
E01000121,36.203
E01000122,10.152
E01000123,11.048
E01000124,23.589
E01000125,26.704
E01000126,33.625
E01000127,27.543
E01000128,27.055
E01000129,31
E01000130,30.863
E01000131,20.904
E01000132,25.53
E01000133,30.774
E01000134,24.669
E01000135,12.523
E01000136,8.96
E01000137,28.786
E01000138,27.86
E01000139,12.388
E01000140,16.817
E01000141,28.797
E01000142,16.669
E01000143,31.342
E01000144,18.338
E01000145,14.626
E01000146,18.538
E01000147,12.786
E01000148,27.671
E01000150,15.583
E01000151,38.897
E01000152,32.418
E01000153,41.649
E01000154,32.667
E01000155,20.797
E01000156,8.319
E01000157,12.655
E01000158,19.721
E01000159,16.257
E01000160,12.121
E01000161,14.513
E01000162,18.504
E01000163,28.541
E01000164,25.331
E01000165,13.258
E01000166,14.861
E01000167,28.35
E01000168,6.975
E01000169,13.226
E01000170,20.384
E01000171,24.261
E01000172,8.421
E01000173,9.709
E01000174,16.271
E01000175,7.614
E01000176,30.549
E01000177,8.263
E01000178,8.055
E01000179,8.467
E01000180,14.555
E01000181,8.204
E01000182,8.01
E01000183,10.613
E01000184,31.921
E01000185,25.824
E01000186,5.195
E01000187,13.015
E01000188,8.028
E01000189,24.526
E01000190,10.149
E01000191,6.834
E01000192,15.472
E01000193,16.117
E01000194,19.392
E01000195,26.999
E01000196,12.284
E01000197,12.516
E01000198,11.841
E01000199,7.222
E01000200,9.566
E01000201,7.184
E01000202,6.735
E01000203,15.523
E01000204,10.063
E01000205,7.725
E01000206,9.118
E01000207,6.585
E01000208,6.612
E01000209,7.058
E01000210,8.197
E01000211,14.568
E01000212,10.294
E01000213,7.583
E01000214,10.503
E01000215,13.565
E01000216,10.017
E01000217,10.826
E01000218,15.33
E01000219,19.87
E01000220,17.109
E01000221,45.842
E01000222,27.098
E01000223,35.812
E01000224,19.679
E01000225,10.981
E01000226,31.658
E01000227,9.965
E01000228,12.492
E01000229,21.609
E01000230,7.886
E01000231,17.628
E01000232,14.534
E01000233,8.853
E01000234,8.657
E01000235,23.347
E01000236,10.572
E01000237,9.545
E01000238,14.457
E01000239,21.568
E01000240,19.599
E01000241,10.706
E01000242,19.154
E01000243,14.093
E01000244,15.649
E01000245,24.116
E01000246,10.621
E01000247,10.138
E01000248,7.296
E01000249,5.863
E01000250,13.03
E01000251,18.853
E01000252,13.376
E01000253,9.449
E01000254,7.764
E01000255,18.729
E01000256,10.628
E01000257,25.001
E01000258,9.156
E01000259,13.364
E01000260,19.85
E01000261,7.628
E01000262,11.643
E01000263,5.865
E01000264,16.482
E01000265,15.103
E01000266,8.023
E01000267,12.75
E01000268,15.262
E01000269,10.434
E01000270,11.98
E01000271,6.648
E01000272,4.839
E01000273,14.148
E01000274,15.582
E01000275,13.504
E01000276,4.061
E01000277,18.23
E01000278,5.525
E01000279,8.956
E01000280,3.958
E01000281,10.933
E01000282,8.582
E01000283,4.647
E01000284,15.477
E01000285,15.134
E01000286,23.897
E01000287,22.723
E01000288,13.041
E01000289,38.33
E01000290,19.937
E01000291,32.936
E01000292,11.315
E01000293,7.608
E01000294,12.242
E01000295,13.306
E01000296,12.11
E01000297,9.009
E01000298,11.827
E01000299,17.004
E01000300,12.253
